K,alphap,meanE,varE,skewE,kurtE,class
-0.32,1.413716694,39.61494835,63.91567055,-1.324451565,3.870042309,one
-0.32,1.413716694,39.11499385,62.27868757,-1.321275265,4.01537,one
-0.32,1.413716694,38.45437967,59.58441289,-1.351224913,4.240059724,one
-0.32,1.413716694,37.79218948,57.70948942,-1.257691703,4.315232934,one
-0.32,1.413716694,36.58037525,52.15835926,-1.15483858,4.23619611,one
-0.32,1.413716694,35.44022407,47.11809437,-1.151711762,4.239977131,one
-0.32,1.413716694,34.46900068,43.81098009,-1.143634226,4.088611447,one
-0.32,1.413716694,33.65922572,42.32376745,-1.10314584,3.739908868,one
-0.32,1.413716694,33.07977666,40.86128382,-1.16489173,3.56254889,one
-0.32,1.413716694,32.2217467,36.3576852,-1.322027036,3.569423302,one
-0.32,1.413716694,31.92679539,34.59271331,-1.361940951,3.556801498,one
-0.32,1.413716694,31.20780712,30.79992047,-1.348153348,3.536421374,one
-0.32,1.413716694,30.40247382,27.09171068,-1.327923956,3.513972209,one
-0.32,1.413716694,29.42668336,22.66517966,-1.35631422,3.600523329,one
-0.32,1.413716694,28.76596576,20.6859719,-1.311245676,3.489304536,one
-0.32,1.413716694,28.04070231,18.56196037,-1.273765985,3.411168805,one
-0.32,1.413716694,27.3062401,16.60950174,-1.233385098,3.33589122,one
-0.32,1.413716694,26.56912567,14.8469479,-1.189663796,3.258605136,one
-0.32,1.413716694,25.82641279,13.25133635,-1.143906488,3.17764548,one
-0.32,1.413716694,25.07920754,11.84110061,-1.093201368,3.083742609,one
-0.32,1.413716694,24.3333801,10.69810058,-1.022237814,2.948980237,one
-0.32,1.413716694,23.54016303,9.721273303,-0.916523051,2.753211461,one
-0.32,1.413716694,22.87504187,6.926547976,-1.356630371,4.072071331,one
-0.32,1.413716694,22.42457793,5.583348414,-1.621315542,5.326708786,one
-0.32,1.413716694,21.79949812,4.393015004,-1.861667893,6.638102693,one
-0.32,1.413716694,21.14123432,3.472118685,-2.091590877,8.013472228,one
-0.32,1.413716694,20.47921482,2.743128187,-2.344147565,9.52780523,one
-0.32,1.413716694,19.81840395,2.150346422,-2.63471949,11.21364986,one
-0.32,1.413716694,19.19208794,1.755077866,-2.715087811,12.05028286,one
-0.32,1.413716694,18.5825106,1.498704997,-2.458144956,11.66456133,one
-0.32,1.413716694,17.96207446,1.349350312,-1.792660388,10.51181197,one
-0.32,1.413716694,17.29828562,1.301423404,-0.780538437,9.940962576,one
-0.32,1.413716694,16.90974465,1.633605103,-0.310716537,7.807774932,one
-0.32,1.413716694,16.38922775,1.354797271,0.555355602,14.27883452,one
-0.32,1.413716694,15.81670678,1.483862115,1.584108334,16.48069884,one
-0.32,1.413716694,14.17322232,1.057627584,8.108228629,73.86782251,one
-0.32,1.413716694,14.30119418,1.095511841,8.084404411,73.48255899,one
-0.32,1.413716694,14.42564129,1.132238492,8.05214144,72.95713124,one
-0.32,1.413716694,14.55167573,1.165396434,8.018121078,72.40086557,one
-0.32,1.413716694,14.67933842,1.194261072,7.984005037,71.84477192,one
-0.32,1.413716694,14.80834505,1.218287168,7.95070528,71.30778023,one
-0.32,1.413716694,14.93828657,1.237075605,7.9186195,70.7997391,one
-0.32,1.413716694,15.06881648,1.250305898,7.887892459,70.32590524,one
-0.32,1.413716694,15.1995877,1.257792726,7.85830706,69.88479665,one
-0.32,1.413716694,15.33036348,1.259455087,7.829320988,69.46927413,one
-0.32,1.413716694,15.46098162,1.255201118,7.800969022,69.07969519,one
-0.32,1.413716694,15.59133686,1.245207497,7.771863615,68.69502419,one
-0.32,1.413716694,15.72150192,1.22961093,7.741157544,68.30142309,one
-0.32,1.413716694,15.8517026,1.208616838,7.707748233,67.88050567,one
-0.32,1.413716694,15.98212014,1.182488364,7.670586889,67.41443459,one
-0.32,1.413716694,16.11302689,1.151626761,7.627769931,66.87261429,one
-0.32,1.413716694,16.24483059,1.116366559,7.577866192,66.2311812,one
-0.32,1.413716694,16.37808193,1.077055568,7.519260875,65.46362787,one
