K,alphap,meanE,varE,skewE,kurtE,class
0.07,1.413716694,43.94734387,82.29669971,-1.768478643,4.577784626,one
0.07,1.413716694,42.59955768,75.1539543,-1.735710779,4.537369921,one
0.07,1.413716694,41.09600339,66.25364494,-1.761146313,4.618953351,one
0.07,1.413716694,39.49004777,57.05172846,-1.804561591,4.755595358,one
0.07,1.413716694,37.88638981,49.14976743,-1.804390689,4.823456906,one
0.07,1.413716694,36.63521757,43.96577784,-1.794459504,4.83574362,one
0.07,1.413716694,35.29386185,38.40823569,-1.79660368,4.893501675,one
0.07,1.413716694,33.81749713,32.13532054,-1.849239768,5.083094593,one
0.07,1.413716694,32.45040983,27.33614124,-1.844656274,5.143643307,one
0.07,1.413716694,31.28002632,23.79777548,-1.830149085,5.140368602,one
0.07,1.413716694,30.08194818,20.18995136,-1.858689811,5.222833145,one
0.07,1.413716694,28.97298173,17.43867424,-1.835261002,5.17406513,one
0.07,1.413716694,28.11633151,16.03499701,-1.746675821,4.895594351,one
0.07,1.413716694,27.28169365,14.77957432,-1.660001928,4.6260646,one
0.07,1.413716694,26.40539615,13.48790517,-1.571871058,4.370084557,one
0.07,1.413716694,25.30171782,11.55152307,-1.493387514,4.190597573,one
0.07,1.413716694,24.3114922,9.912943141,-1.505112982,4.127210479,one
0.07,1.413716694,23.33686718,8.519814695,-1.501479769,4.007377685,one
0.07,1.413716694,22.62568759,8.537842575,-1.181166153,3.416686535,one
0.07,1.413716694,21.81026499,6.894435782,-1.260996059,3.997045802,one
0.07,1.413716694,21.00180586,5.183543358,-1.647893391,5.632398926,one
0.07,1.413716694,20.30940777,4.432725008,-1.866616262,7.27991302,one
0.07,1.413716694,19.40602069,3.357311875,-2.516149588,11.86019696,one
0.07,1.413716694,18.69450297,3.061656732,-2.972939332,16.69464658,one
0.07,1.413716694,17.86520374,2.681311143,-3.731047252,24.80157609,one
0.07,1.413716694,16.89891981,2.114402173,-4.090363029,30.59288325,one
