K,alphap,meanE,varE,skewE,kurtE,class
-0.19,1.413716694,40.51278585,66.63437934,-1.459281613,3.88987746,one
-0.19,1.413716694,39.70797649,62.85075363,-1.45346321,3.953819052,one
-0.19,1.413716694,38.85449399,59.05375909,-1.450834923,4.042825439,one
-0.19,1.413716694,37.933222,55.09889135,-1.455106993,4.159507473,one
-0.19,1.413716694,36.59851997,47.76710452,-1.53464048,4.508561947,one
-0.19,1.413716694,35.87478931,46.58865247,-1.505168033,4.413080553,one
-0.19,1.413716694,34.91702551,43.83735437,-1.49435047,4.333442171,one
-0.19,1.413716694,33.89279931,40.80983321,-1.473856961,4.184002538,one
-0.19,1.413716694,32.47593863,34.35961258,-1.531093778,4.268479817,one
-0.19,1.413716694,31.77006753,32.52555599,-1.479470512,4.028119222,one
-0.19,1.413716694,30.85669147,28.85090756,-1.470219041,3.963552344,one
-0.19,1.413716694,29.88635233,25.08708722,-1.456154061,3.915427251,one
-0.19,1.413716694,28.83207098,21.03429879,-1.477956139,3.950108057,one
-0.19,1.413716694,28.0298252,18.76496069,-1.441108664,3.82376271,one
-0.19,1.413716694,27.21022351,16.58130139,-1.402675132,3.721458625,one
-0.19,1.413716694,26.39451424,14.5562832,-1.363982414,3.651015545,one
-0.19,1.413716694,25.57860569,12.65740686,-1.327291858,3.63225166,one
-0.19,1.413716694,24.67472737,10.49525122,-1.323403489,3.779896795,one
-0.19,1.413716694,23.90766653,8.962798463,-1.343224459,3.929973057,one
-0.19,1.413716694,23.19694193,7.877971503,-1.310042621,3.997382807,one
-0.19,1.413716694,22.47633754,6.905089696,-1.267099833,4.033241241,one
-0.19,1.413716694,21.7234676,5.951652263,-1.236808432,4.053785521,one
-0.19,1.413716694,20.98792867,5.225628587,-1.180603398,3.938903428,one
-0.19,1.413716694,20.22757141,4.545720233,-1.147730009,3.863416451,one
-0.19,1.413716694,19.46269115,4.013833231,-1.100672875,3.806491806,one
-0.19,1.413716694,18.83912556,3.050673001,-1.673146015,5.457320993,one
-0.19,1.413716694,18.36543377,2.420006596,-2.165180456,7.969334502,one
-0.19,1.413716694,17.66781054,1.88276041,-2.44027278,10.11964457,one
-0.19,1.413716694,16.94559553,1.515373616,-2.455559345,12.37229484,one
-0.19,1.413716694,16.25643736,1.325917123,-1.888518479,14.37743468,one
-0.19,1.413716694,15.55817056,1.214228716,-0.659377024,17.41453557,one
-0.19,1.413716694,14.84212003,1.172791541,1.18538296,23.19744583,one
-0.19,1.413716694,14.08706208,1.211457005,3.247680355,32.38416781,one
-0.19,1.413716694,13.27513084,1.319500915,5.117560983,44.17522439,one
-0.19,1.413716694,12.53357712,1.47787575,6.475812398,54.46238847,one
-0.19,1.413716694,12.85609735,1.313515385,7.789508482,68.67299469,one
-0.19,1.413716694,13.28955139,1.260009868,7.927088719,70.94926941,one
-0.19,1.413716694,13.56251924,1.263011134,7.941192501,71.23392731,one
-0.19,1.413716694,13.79415337,1.278675046,7.918874851,70.88977934,one
-0.19,1.413716694,14.00825721,1.298374342,7.876956075,70.20086902,one
-0.19,1.413716694,14.21443132,1.318292515,7.823056658,69.30214966,one
-0.19,1.413716694,14.41737734,1.336219976,7.761478355,68.27318375,one
-0.19,1.413716694,14.61935222,1.350769576,7.694739172,67.16296108,one
-0.19,1.413716694,14.82148305,1.360969258,7.624376236,66.00309103,one
-0.19,1.413716694,15.02430128,1.366148675,7.551091127,64.81075326,one
-0.19,1.413716694,15.22779905,1.365757644,7.475964334,63.6065166,one
-0.19,1.413716694,15.43205695,1.359604577,7.398147142,62.38190802,one
-0.19,1.413716694,15.6371851,1.347481038,7.317390075,61.13563346,one
-0.19,1.413716694,15.84298446,1.329331973,7.23350901,59.86658597,one
-0.19,1.413716694,16.04932996,1.305355138,7.145291757,58.55815331,one
-0.19,1.413716694,16.25623729,1.275726689,7.051872075,57.19895174,one
-0.19,1.413716694,16.46319575,1.240969707,6.951561101,55.76669222,one
-0.19,1.413716694,16.67092935,1.201212623,6.843501456,54.25026953,one
-0.19,1.413716694,16.87956312,1.156936877,6.72593525,52.62761333,one
-0.19,1.413716694,17.08930288,1.108617523,6.597172703,50.87947613,one
-0.19,1.413716694,17.3005958,1.056771796,6.454889738,48.98139196,one
-0.19,1.413716694,17.54667742,0.989975649,6.31469748,47.20788254,one
-0.19,1.413716694,19.10786899,2.787884044,0.817537468,3.216158094,one
-0.19,1.413716694,22.47043545,18.4190926,0.720165116,2.918740035,one
-0.19,1.413716694,22.49588647,27.79842482,0.998512567,2.846469314,one
-0.19,1.413716694,22.76920633,30.66210665,1.025333377,2.574820506,one
-0.19,1.413716694,23.97819533,40.79432218,0.912498266,2.311289611,one
-0.19,1.413716694,25.994229,48.42444396,0.499917825,1.766049918,one
-0.19,1.413716694,26.74184146,51.82958236,0.407275819,1.625081664,one
-0.19,1.413716694,28.97887882,60.10838884,0.241916611,1.514074871,one
-0.19,1.413716694,30.11297286,75.02982757,0.10305666,1.350219978,one
-0.19,1.413716694,30.61605548,71.32576908,0.022376367,1.386351499,one
-0.19,1.413716694,31.41039121,73.89915222,0.055167476,1.445702059,one
-0.19,1.413716694,32.16286871,73.85687967,-0.046765459,1.451795806,one
-0.19,1.413716694,33.3450685,72.3604415,-0.121058864,1.555492115,one
-0.19,1.413716694,35.61028772,95.91706798,-0.233627181,1.394284821,one
