K,alphap,meanE,varE,skewE,kurtE,class
-0.3,-0.331612558,10.15334142,1.131518821,7.448252604,58.89159601,one
-0.3,-0.314159265,10.32448011,1.07106873,7.381860619,57.90278882,one
-0.3,-0.296705973,10.74958061,0.942359991,7.362255531,57.58332806,one
-0.3,-0.27925268,11.30610468,0.79013035,7.356371992,57.4809511,one
-0.3,-0.261799388,11.87040765,0.651693399,7.32562207,57.06142335,one
-0.3,-0.244346095,12.3924782,0.537674455,7.24295027,55.95955215,one
-0.3,-0.226892803,12.8685134,0.446240684,7.081933142,53.85089528,one
-0.3,-0.20943951,13.31051715,0.37313707,6.812877534,50.39154301,one
-0.3,-0.191986218,13.73320392,0.31481505,6.40936695,45.29826457,one
-0.3,-0.174532925,14.15017823,0.268959378,5.864753692,38.57311365,one
-0.3,-0.157079633,14.57306856,0.234317717,5.222429446,30.90400081,one
-0.3,-0.13962634,15.01169165,0.210665361,4.603324931,23.9457036,one
-0.3,-0.122173048,15.47418645,0.198664829,4.192018832,19.87414607,one
-0.3,-0.104719755,15.96797711,0.199705657,4.116987199,19.60477828,one
-0.3,-0.087266463,16.49922982,0.216128178,4.288026305,21.32574343,one
-0.3,-0.06981317,17.07329387,0.251176493,4.41947432,22.13029209,one
-0.3,-0.052359878,17.69458843,0.309123405,4.272705798,20.9568148,one
-0.3,-0.034906585,18.36781219,0.394896368,3.815886228,18.76711944,one
-0.3,-0.017453293,19.0971338,0.51421988,3.156137798,16.77227816,one
-0.3,0,19.8846077,0.673754222,2.420705933,15.53114159,one
-0.3,0.017453293,20.73314934,0.879309746,1.692208204,15.06418844,one
-0.3,0.034906585,21.64652466,1.135577694,1.002745804,15.20485008,one
-0.3,0.052359878,22.62716168,1.445278759,0.353091331,15.798965,one
-0.3,0.06981317,23.67823193,1.807286546,-0.277339311,16.78097797,one
-0.3,0.087266463,24.80269841,2.217993853,-0.912839261,18.17239689,one
-0.3,0.104719755,26.00333332,2.671500816,-1.577717718,20.05702852,one
-0.3,0.122173048,27.28312498,3.161992738,-2.290753125,22.55839792,one
-0.3,0.13962634,28.64534386,3.686894974,-3.060915177,25.80116268,one
-0.3,0.157079633,30.09937757,4.252185268,-3.88695617,29.88130299,one
-0.3,0.174532925,31.67160919,4.893176333,-4.74121242,34.65529937,one
-0.3,0.191986218,33.41023996,5.813179194,-5.353723954,37.94180654,one
-0.3,0.20943951,35.34907628,7.647369059,-4.972035769,34.31411701,one
-0.3,0.226892803,37.45785599,11.14994152,-3.666176204,25.61310215,one
-0.3,0.244346095,39.65971084,16.37627334,-2.484828227,18.77570418,one
-0.3,0.261799388,41.8854578,22.71778985,-1.789522093,14.91760797,one
-0.3,0.27925268,44.12005971,30.16374589,-1.348058079,12.57248987,one
-0.3,0.296705973,46.45300285,41.01526174,-0.827116296,10.48113713,one
-0.3,0.314159265,48.92312596,57.16925946,-0.298037383,8.778750956,one
-0.3,0.331612558,51.37350422,73.58560347,-0.11487005,7.816953307,one
-0.3,0.34906585,53.67380248,85.19924472,-0.253567619,7.34924689,one
-0.3,0.366519143,55.79699518,91.84572699,-0.587534793,7.22023137,one
-0.3,0.383972435,57.76809792,96.17530979,-1.002076219,7.291726644,one
-0.3,0.401425728,59.63313125,101.6832018,-1.355557644,7.343356517,one
-0.3,0.41887902,61.42452446,110.4660578,-1.555680569,7.192138134,one
-0.3,0.436332313,63.10672461,122.512594,-1.610110896,6.832041454,one
-0.3,0.453785606,64.5990011,136.1255325,-1.588749889,6.39906965,one
-0.3,0.471238898,65.85376704,150.6403009,-1.514246088,5.945773132,one
-0.3,0.488692191,66.74210493,163.3771773,-1.426352427,5.577762836,one
-0.3,0.506145483,67.24381133,173.7531151,-1.328373957,5.265401687,one
-0.3,0.523598776,67.33635792,181.3996354,-1.21208777,5.004011042,one
-0.3,0.541052068,67.12495503,190.5006927,-1.011272261,4.705304348,one
-0.3,0.558505361,66.79675145,209.3432057,-0.647686706,4.311245954,one
-0.3,0.575958653,66.51951317,246.0992393,-0.167696236,3.892712592,one
-0.3,0.593411946,66.27592296,298.7210557,0.220424361,3.455345447,one
-0.3,0.610865238,65.88160649,353.6043976,0.413212017,2.967872223,one
-0.3,0.628318531,65.18114331,396.3138619,0.454190826,2.483408319,one
-0.3,0.645771823,64.52395825,448.863335,0.48111,2.131764191,one
-0.3,0.663225116,63.62529202,486.6691757,0.481301639,1.928734875,one
-0.3,0.680678408,61.28969075,415.187891,0.334823,1.8185362,one
-0.3,0.698131701,58.14502585,303.4849389,0.024467697,1.668296515,one
-0.3,0.715584993,56.55798058,284.5603538,-0.063551485,1.656761682,one
-0.3,0.733038286,54.3140415,239.938765,-0.27380049,1.550543648,one
-0.3,0.750491578,52.429836,216.4475509,-0.372682909,1.553264442,one
-0.3,0.767944871,51.10213412,206.6734647,-0.463606711,1.546549238,one
-0.3,0.785398163,48.92239275,178.2730788,-0.545996732,1.63472686,one
-0.3,0.802851456,44.64110711,114.7878638,-0.692517561,1.914625281,one
-0.3,0.820304748,40.31652233,83.55799948,-0.383019917,1.866495118,one
-0.3,0.837758041,37.67450327,71.29195689,-0.279999884,1.711604372,one
-0.3,0.855211333,35.51797195,61.66988912,-0.260968898,1.61853772,one
-0.3,0.872664626,33.41548865,54.28305332,-0.232722188,1.505496269,one
-0.3,0.890117919,31.42438993,48.37792624,-0.210892082,1.414516878,one
-0.3,0.907571211,29.5362104,39.38318515,-0.23433005,1.39858175,one
-0.3,0.925024504,27.70485972,28.13765763,-0.243113522,1.587202532,one
-0.3,0.942477796,27.85826295,24.09451591,-0.583714098,1.789803888,one
-0.3,0.959931089,26.48153149,21.0977147,-0.531613935,1.758052601,one
-0.3,0.977384381,25.70308776,16.40601494,-0.744636729,2.082728832,one
-0.3,0.994837674,24.26266171,15.71301077,-0.677668389,1.918648002,one
-0.3,1.012290966,23.35032732,14.19967256,-0.758615769,2.002829458,one
-0.3,1.029744259,22.7084677,10.31644773,-0.859205596,2.400476546,one
-0.3,1.047197551,21.86641279,9.36452008,-1.033628158,2.579947421,one
-0.3,1.064650844,20.92749711,7.887206515,-1.019777383,2.629374174,one
-0.3,1.082104136,19.99645919,5.382497313,-1.217592467,3.381020722,one
-0.3,1.099557429,19.19921747,4.73813451,-1.377175129,3.739117703,one
-0.3,1.117010721,18.32795223,3.990068552,-1.485091354,4.138777167,one
-0.3,1.134464014,17.48745037,3.452842485,-1.39319379,4.437190772,one
-0.3,1.151917306,16.52842012,2.814951022,-1.264255348,5.348403671,one
-0.3,1.169370599,15.56947087,2.469524539,-0.878762094,6.774515683,one
-0.3,1.186823891,14.56629892,2.292936765,-0.215058725,9.38776451,one
-0.3,1.204277184,13.48089051,2.19655447,0.807204309,14.41549211,one
-0.3,1.221730476,12.20603441,2.096605984,2.443186588,25.31593866,one
-0.3,1.239183769,10.90428558,2.352326518,3.657168871,33.05359555,one
-0.3,1.256637061,9.328502316,2.830177694,4.755752087,39.44288912,one
-0.3,1.274090354,7.752699638,3.634570151,5.051597495,39.90589903,one
-0.3,1.291543646,6.414375099,4.402823494,5.477664106,40.99385477,one
-0.3,1.308996939,6.221810427,4.826342953,5.253314272,37.67950006,one
-0.3,1.326450232,7.196036676,4.33479585,5.327828274,37.54663806,one
-0.3,1.343903524,8.812791068,3.442341149,5.424155732,39.26944488,one
-0.3,1.361356817,10.53161349,2.520982208,5.869865897,44.88218888,one
-0.3,1.378810109,12.1420271,1.812818432,6.434119118,52.68654127,one
-0.3,1.396263402,13.55545909,1.220916144,8.014739353,72.43756644,one
-0.3,1.413716694,14.16580106,1.114554296,8.058054523,73.0749454,one
-0.3,1.431169987,14.69403652,1.04218825,8.030108091,72.43841907,one
-0.3,1.448623279,15.20205549,0.981880746,7.968037057,71.15282624,one
-0.3,1.466076572,15.71419059,0.925362768,7.88564862,69.47048251,one
-0.3,1.483529864,16.24096622,0.869185794,7.785253972,67.47254879,one
-0.3,1.500983157,16.78638639,0.812114296,7.660948705,65.14370434,one
-0.3,1.518436449,17.35113938,0.754172116,7.497297468,62.39113878,one
-0.3,1.535889742,17.93480903,0.69598181,7.267485615,59.0775428,one
-0.3,1.553343034,18.53647078,0.638576051,6.929178598,55.06320812,one
-0.3,1.570796327,19.1561858,0.582997891,6.419580961,50.30592439,one
-0.29,-1.570796327,19.10629998,0.588117196,6.418584737,49.96015575,one
-0.29,-1.553343034,19.75506907,0.533665094,5.658600186,44.68089417,one
-0.29,-1.535889742,21.04972129,1.462777768,1.463291836,5.857959615,one
-0.29,-1.518436449,23.88033373,10.10295679,0.504054513,1.657287654,one
-0.29,-1.500983157,25.94558001,13.52482921,-0.058770485,1.346685883,one
-0.29,-1.483529864,27.60642371,15.06327103,-0.404257655,1.533702422,one
-0.29,-1.466076572,29.25283039,17.38561799,-0.62353959,1.796480904,one
-0.29,-1.448623279,30.82539417,19.87407224,-0.776608193,2.067570208,one
-0.29,-1.431169987,32.3653136,22.49439524,-0.920269454,2.329995006,one
-0.29,-1.413716694,33.98537574,26.34846955,-0.998561601,2.523480138,one
-0.29,-1.396263402,35.71283798,31.30225493,-1.075935156,2.676846384,one
-0.29,-1.378810109,37.542573,37.80300295,-1.11882174,2.770261108,one
-0.29,-1.361356817,39.50714426,46.42124947,-1.131197676,2.804183156,one
-0.29,-1.343903524,41.48952733,56.00358612,-1.157398378,2.838937091,one
-0.29,-1.326450232,43.59879576,68.38565569,-1.151987861,2.822672559,one
-0.29,-1.308996939,45.88774138,84.62126799,-1.12762033,2.763606787,one
-0.29,-1.291543646,48.23564374,103.975877,-1.095727115,2.691820568,one
-0.29,-1.274090354,50.6131953,126.5939099,-1.057197634,2.612881083,one
-0.29,-1.256637061,53.02580609,153.0277272,-1.013724721,2.528080958,one
-0.29,-1.239183769,55.41277659,182.5918675,-0.971239286,2.446990784,one
-0.29,-1.221730476,57.70898263,214.1229205,-0.933171526,2.37545674,one
-0.29,-1.204277184,59.86209632,246.3635984,-0.900267328,2.315264146,one
-0.29,-1.186823891,61.80939948,277.4149033,-0.874227893,2.268781096,one
-0.29,-1.169370599,63.52076706,305.8830962,-0.855393046,2.235099548,one
-0.29,-1.151917306,65.003943,331.4216621,-0.842088654,2.2107815,one
-0.29,-1.134464014,66.34920535,356.501223,-0.827169698,2.186692321,one
-0.29,-1.117010721,67.55171538,380.7623239,-0.812249659,2.163981888,one
-0.29,-1.099557429,68.55597005,401.9968381,-0.802548198,2.147738944,one
-0.29,-1.082104136,69.35766924,419.6183778,-0.799246501,2.138381709,one
-0.29,-1.064650844,69.94592058,432.9299402,-0.803140263,2.136715984,one
-0.29,-1.047197551,70.3146275,441.5722953,-0.813827008,2.14304523,one
-0.29,-1.029744259,70.43227579,444.4877787,-0.83154461,2.159099393,one
-0.29,-1.012290966,70.22763499,439.3914793,-0.858594432,2.189377408,one
-0.29,-0.994837674,69.70126859,426.9463468,-0.891908346,2.233114145,one
-0.29,-0.977384381,69.08415111,415.4948884,-0.915366843,2.272338763,one
-0.29,-0.959931089,68.10458685,395.999331,-0.945752854,2.327457452,one
-0.29,-0.942477796,66.5790236,363.8736799,-0.992635587,2.415359511,one
-0.29,-0.925024504,64.46005479,320.2204133,-1.058746297,2.546944858,one
-0.29,-0.907571211,62.25380637,279.5378645,-1.129426053,2.689767695,one
-0.29,-0.890117919,59.69020593,236.1718278,-1.216958911,2.87482091,one
-0.29,-0.872664626,56.85806709,194.136274,-1.309179409,3.093953381,one
-0.29,-0.855211333,54.1865178,160.8514234,-1.38628705,3.301925928,one
-0.29,-0.837758041,51.5202866,132.9095529,-1.437887163,3.487933934,one
-0.29,-0.820304748,48.64375449,104.5223735,-1.557595488,3.789692438,one
-0.29,-0.802851456,45.62178175,82.41607797,-1.534247667,3.903564578,one
-0.29,-0.785398163,42.8528868,66.27772918,-1.454966875,3.883574598,one
-0.29,-0.767944871,40.10364807,51.87140879,-1.401101563,3.858656777,one
-0.29,-0.750491578,37.99581739,48.09081838,-1.049002521,3.171530871,one
-0.29,-0.733038286,36.16189104,42.33971198,-0.947599741,2.923804955,one
-0.29,-0.715584993,34.31658905,41.10324486,-0.705256783,2.302984395,one
-0.29,-0.698131701,32.71157574,38.26905003,-0.565233536,2.071038652,one
-0.29,-0.680678408,31.37799788,38.38850724,-0.43032578,1.895363254,one
-0.29,-0.663225116,29.82485453,31.54236885,-0.47391833,1.848688084,one
-0.29,-0.645771823,28.49533743,26.24921715,-0.522062205,1.923679622,one
-0.29,-0.628318531,27.20957908,23.58909498,-0.59915133,1.812590986,one
-0.29,-0.610865238,26.00949304,15.34503222,-0.818881402,2.239253862,one
-0.29,-0.593411946,25.13382894,13.3344025,-0.919969674,2.338660238,one
-0.29,-0.575958653,24.45665282,13.52641639,-0.851378504,2.256686936,one
-0.29,-0.558505361,23.84005303,13.42665645,-0.806278905,2.188048965,one
-0.29,-0.541052068,22.90088245,9.770730882,-0.967383659,2.526792698,one
-0.29,-0.523598776,22.0207335,7.773999603,-1.027756076,2.820665207,one
-0.29,-0.506145483,21.19194724,6.628065578,-1.140324441,3.109814723,one
-0.29,-0.488692191,20.30482842,5.759242338,-1.218962979,3.209658661,one
-0.29,-0.471238898,19.3823981,4.826031549,-1.288240782,3.403812818,one
-0.29,-0.453785606,18.45759161,4.021730358,-1.39575634,3.623720359,one
-0.29,-0.436332313,17.53507216,3.412327379,-1.453930252,3.75885503,one
-0.29,-0.41887902,16.55034318,2.823218634,-1.382722622,3.799409242,one
-0.29,-0.401425728,15.75581685,2.516872029,-1.102130075,3.585888854,one
-0.29,-0.383972435,14.69148879,2.739880038,-0.939121916,3.324048053,one
-0.29,-0.366519143,13.46719875,2.113538151,-0.068274716,4.6014237,one
-0.29,-0.34906585,12.00311234,1.892795495,1.443169946,9.081417095,one
-0.29,-0.331612558,10.09103293,1.146160998,7.461065774,59.04524926,one
-0.29,-0.314159265,10.19451736,1.105534526,7.3817085,57.87667233,one
-0.29,-0.296705973,10.58031988,0.985863882,7.355713308,57.46561232,one
-0.29,-0.27925268,11.14043054,0.828870415,7.356069142,57.44327714,one
-0.29,-0.261799388,11.72721327,0.681396292,7.338965172,57.20740998,one
-0.29,-0.244346095,12.27210446,0.559459991,7.275527021,56.3603753,one
-0.29,-0.226892803,12.76556921,0.462094899,7.140414039,54.58471126,one
-0.29,-0.20943951,13.21940556,0.384566897,6.904401771,51.53886386,one
-0.29,-0.191986218,13.64944735,0.32273478,6.538610695,46.90301972,one
-0.29,-0.174532925,14.07043656,0.273816407,6.028119915,40.56266449,one
-0.29,-0.157079633,14.49494115,0.236221076,5.399543935,32.98122155,one
-0.29,-0.13962634,14.93357122,0.209398449,4.753299064,25.57744513,one
-0.29,-0.122173048,15.39480192,0.193797353,4.268541204,20.5696852,one
-0.29,-0.104719755,15.88656605,0.190541843,4.111480726,19.4617554,one
-0.29,-0.087266463,16.41525768,0.201711013,4.253206826,21.0498915,one
-0.29,-0.06981317,16.98633234,0.230340701,4.420922571,22.22835336,one
-0.29,-0.052359878,17.60448322,0.280322484,4.325329483,21.32060074,one
-0.29,-0.034906585,18.27403881,0.356453437,3.886476393,19.09557212,one
-0.29,-0.017453293,18.99937605,0.464069984,3.20565221,16.95539063,one
-0.29,0,19.78243903,0.609680204,2.427066126,15.62741973,one
-0.29,0.017453293,20.62567044,0.799186464,1.651567833,15.17176061,one
-0.29,0.034906585,21.53284549,1.037288728,0.920401372,15.39617003,one
-0.29,0.052359878,22.5061952,1.327258823,0.238110682,16.10829574,one
-0.29,0.06981317,23.54868002,1.669071813,-0.414319166,17.2180851,one
-0.29,0.087266463,24.66307159,2.060067596,-1.06256295,18.72942008,one
-0.29,0.104719755,25.85192102,2.495551876,-1.731353333,20.71498534,one
-0.29,0.122173048,27.11792667,2.970888621,-2.439149629,23.28372974,one
-0.29,0.13962634,28.46369197,3.48416169,-3.194074478,26.53939197,one
-0.29,0.157079633,29.896948,4.040596957,-3.994168599,30.55512737,one
-0.29,0.174532925,31.44253444,4.668977014,-4.818756142,35.22773849,one
-0.29,0.191986218,33.15389112,5.552492868,-5.426001785,38.55372191,one
-0.29,0.20943951,35.08041093,7.374061776,-4.977278802,34.39135117,one
-0.29,0.226892803,37.20159077,11.09807839,-3.468815315,24.45153826,one
-0.29,0.244346095,39.43566127,16.93585608,-2.147512056,17.03814932,one
-0.29,0.261799388,41.69556636,24.15668176,-1.40682957,13.1572415,one
-0.29,0.27925268,43.95478294,32.39188866,-1.002252899,11.03246054,one
-0.29,0.296705973,46.31194428,44.49525451,-0.512927953,9.256411933,one
-0.29,0.314159265,48.84821918,63.86051266,0.036720276,7.824347658,one
-0.29,0.331612558,51.3783866,84.22021174,0.237997508,6.97658905,one
-0.29,0.34906585,53.73919699,98.53255818,0.129539763,6.520662465,one
